Country,Group,Worldrank,Flag
Sweden,C,2,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/SWE?tx=c_fill,g_auto,q_auto,w_70"
France,D,3,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/FRA?tx=c_fill,g_auto,q_auto,w_70"
Netherlands,C,4,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/NED?tx=c_fill,g_auto,q_auto,w_70"
Germany,B,5,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/GER?tx=c_fill,g_auto,q_auto,w_70"
Spain,B,7,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/ESP?tx=c_fill,g_auto,q_auto,w_70"
England,A,8,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/ENG?tx=c_fill,g_auto,q_auto,w_70"
Norway,A,11,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/NOR?tx=c_fill,g_auto,q_auto,w_70"
Italy,D,14,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/ITA?tx=c_fill,g_auto,q_auto,w_70"
Denmark,B,15,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/DEN?tx=c_fill,g_auto,q_auto,w_70"
Iceland,D,17,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/ISL?tx=c_fill,g_auto,q_auto,w_70"
Belgium,D,19,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/BEL?tx=c_fill,g_auto,q_auto,w_70"
Switzerland,C,20,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/SUI?tx=c_fill,g_auto,q_auto,w_70"
Austria,A,21,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/AUT?tx=c_fill,g_auto,q_auto,w_70"
Finland,B,29,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/FIN?tx=c_fill,g_auto,q_auto,w_70"
Portugal,C,30,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/POR?tx=c_fill,g_auto,q_auto,w_70"
Northern Ireland,A,47,"https://cloudinary.fifa.com/api/v1/picture/flags-sq-2/NIR?tx=c_fill,g_auto,q_auto,w_70"
