Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Teresa Abilleira,MF,es Spain,22-201,2000,1,1,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46f75f0c
2,Olga Ahtinen,MF,fi Finland,,,3,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b4fb6508
3,Eseosa Aigbogun,DF,ch Switzerland,29-067,1993,3,3,205,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2dee6fe8
4,Emmi Alanen,MF,fi Finland,31-090,1991,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e9c04200
5,Laia Aleixandri,MF,es Spain,21-338,2000,4,1,161,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31691fc9
6,Catarina Amado,DF,pt Portugal,23-008,1999,3,3,214,2.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,295c95e6
7,Jonna Andersson,MFDF,se Sweden,29-208,1993,3,2,196,2.2,1,1,1,0,0,0,0,0.46,0.46,0.92,0.46,0.92,Matches,5f50a940
8,Joely Andrews,FW,nir Northern Ireland,20-090,2002,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,11257202
9,Filippa Angeldal,MF,se Sweden,25-015,1997,5,5,339,3.8,2,0,2,0,0,0,0,0.53,0.00,0.53,0.53,0.53,Matches,71c3bd53
10,Nicole Anyomi,FW,de Germany,22-169,2000,1,0,45,0.5,1,0,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,83b0b998
11,Guony Arnadottir,DF,is Iceland,21-359,2000,1,1,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0bbcef21
12,Guorun Arnardottir,DF,is Iceland,27-000,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58b35998
13,Verena Aschauer,DF,at Austria,28-190,1994,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,81bc6c20
14,Kosovare Asllani,MFFW,se Sweden,33-000,1989,5,5,450,5.0,1,4,0,1,1,0,0,0.20,0.80,1.00,0.00,0.80,Matches,1d994521
15,Sif Atladottir,DF,is Iceland,37-014,1985,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bfc48037
16,Anna Auvinen,FW,fi Finland,35-149,1987,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6c4f3f53
17,Selma Bacha,FW,fr France,21-262,2000,5,1,207,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5809ef17
18,Ramona Bachmann,FW,ch Switzerland,31-216,1990,3,3,251,2.8,1,2,1,0,0,0,0,0.36,0.72,1.08,0.36,1.08,Matches,28392158
19,Stine Ballisager Pedersen,DF,dk Denmark,28-207,1994,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,41880331
20,Sandy Baltimore,DF,fr France,22-160,2000,2,1,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0cd40e51
21,Elisa Bartoli,DF,it Italy,31-083,1991,3,2,213,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ca0afb1
22,Ona Batlle,DF,es Spain,23-049,1999,4,4,390,4.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a2d32f9
23,Lineth Beerensteyn,FW,nl Netherlands,25-291,1996,4,3,221,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,40ecae9f
24,Athenea Belvide,FW,es Spain,21-278,2000,4,1,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,cd031048
25,Hanna Bennison,FW,se Sweden,19-286,2002,5,0,86,1.0,1,0,1,0,0,0,0,1.05,0.00,1.05,1.05,1.05,Matches,0ce72873
26,Valentina Bergamaschi,MFFW,it Italy,25-188,1997,3,3,259,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,bd284d1c
27,Guro Bergsvand,DF,no Norway,28-148,1994,3,1,145,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,561230d9
28,Julie Biesmans,MFDF,be Belgium,28-086,1994,4,4,357,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a022380f
29,Charlotte Bilbault,MF,fr France,32-054,1990,5,5,435,4.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,844a7b4f
30,Nicole Billa,FW,at Austria,26-146,1996,4,4,346,3.8,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,f8d26c9a
31,Berglind Bjorg Þorvaldsdottir,FW,is Iceland,30-192,1992,3,3,217,2.4,1,0,1,0,1,1,0,0.41,0.00,0.41,0.41,0.41,Matches,b6880df9
32,Sara Bjork Gunnarsdottir,MF,is Iceland,31-303,1990,3,3,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e35df6e3
33,Nathalie Bjorn,MFDF,se Sweden,25-086,1997,5,5,437,4.9,0,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,ee84c793
34,Stina Blackstenius,FW,se Sweden,26-174,1996,5,4,353,3.9,1,0,1,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches,c6b9e97f
35,Julie Blakstad,DF,no Norway,20-336,2001,3,3,259,2.9,1,0,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,40e22487
36,Rebecka Blomqvist,FW,se Sweden,25-005,1997,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdae87ec
37,Lisa Boattin,DF,it Italy,25-087,1997,3,3,270,3.0,0,1,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,Matches,f7f524de
38,Barbara Bonansea,MFFW,it Italy,31-046,1991,3,2,215,2.4,0,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,3581dc2b
39,Agnese Bonfantini,FW,it Italy,23-025,1999,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31ba7da6
